id	clr	W
d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Aenigmarchaeales	-0.10373049871888057	75
d__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG);o__Deep_Sea_Euryarchaeotic_Group(DSEG);f__Deep_Sea_Euryarchaeotic_Group(DSEG);g__Deep_Sea_Euryarchaeotic_Group(DSEG)	-0.18256555854924883	79
d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Lokiarchaeia;f__Lokiarchaeia;g__Lokiarchaeia	-0.09306036429498166	76
d__Archaea;p__Asgardarchaeota;c__Odinarchaeia;o__Odinarchaeia;f__Odinarchaeia;g__Odinarchaeia	-0.11621623502401524	80
d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__Bathyarchaeia;f__Bathyarchaeia;g__Bathyarchaeia	-0.07663525089832385	75
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus_Nitrosopelagicus	-0.1271223870790396	69
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus_Nitrosopumilus	0.05960044672124909	71
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilaceae	-0.061670903670565436	63
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;__	-0.18917909613558848	82
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus_Nitrocosmicus	-0.1478815816480902	65
d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaeraceae	-0.1852864679883839	66
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	-0.5946461918556375	93
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	-0.03076763760730744	73
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera	-0.16290202165897988	74
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteriaceae;g__Methanothermobacter	-0.19803362867825192	82
d__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales;f__Methanofastidiosaceae;g__Candidatus_Methanofastidiosum	-0.335918761315278	85
d__Archaea;p__Euryarchaeota;c__Thermococci;o__Methanofastidiosales;f__uncultured;g__uncultured	-0.18566511211915376	78
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;__;__	1.5879884567145273	121
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloadaptaceae;g__Haladaptatus	0.9769589157801568	84
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halobacterales;g__uncultured	1.161846277613541	50
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halobacteriaceae;__	0.3556796080065437	51
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halobacteriaceae;g__Halanaeroarchaeum	0.3890635850978847	51
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halobacteriaceae;g__Halarchaeum	0.9372718834535128	30
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halobacteriaceae;g__Halobacteriaceae	0.9224631378113354	58
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halobacteriaceae;g__Halobacterium	1.3381835202855723	59
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halobacteriaceae;g__Halocalculus	-0.07616947255360274	66
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halobacteriaceae;g__Halodesulfurarchaeum	0.8535331444323486	52
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halobacteriaceae;g__Salarchaeum	0.7770179089090841	68
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halococcaceae;g__Halalkalicoccus	-0.030676421607926163	70
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halococcaceae;g__Halococcus	3.704845926201947	2228
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Halococcaceae;g__uncultured	-0.3006609258276115	87
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;__	-0.218874256964359	43
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Haloarchaeobius	0.04337617784237885	66
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halobaculum	-0.05277416455995526	66
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halobellus	1.844320688883637	74
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halobiforma	-0.7184369258066049	97
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Haloferacaceae	-0.10650314386777077	72
d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Haloferax	0.22957134941240065	49
