"Bird"	"Colony"	"Band"	"eggs"	"pipped.egg"	"chick"	"Date"	"Time"	"TAR..mm."	"CUL..mm."	"SKULL..mm."	"MN..mm."	"MX..mm."	"Mass..g."	"sex"	"capture"	"Notes"	"Person.measuring"	"Sex"	"Area"	"body_condition"
1	"M4/5"	"1106-11017"	3	0	0	20210515	"9:42"	52.4	45	100.9	13.1	14.2	"580"	""	"wet "	""	"Scott"	""	"SF"	667.822875647278
2	"M4/5"	"1106-11018"	2	0	0	20210515	"10:25"	59.1	47.6	104.6	14.3	15.4	"680"	""	"wet "	""	"Scott"	""	"SF"	698.559750538778
3	"M4/5"	"1106-11019"	1	0	0	20210515	"11:18"	56.4	49	108.9	15.4	16.6	"695"	""	"dry  "	"not sure if swab went all the way in cloaca"	"Scott"	""	"SF"	628.439192330908
4	"M4/5"	"1106-11020"	2	0	0	20210515	"11:45"	58.5	51.5	113.2	16.8	19.8	"775"	""	"dry "	""	"Scott"	""	"SF"	619.883825542009
5	"M4/5"	"1106-11022"		0	0	20210515	"14:23"	54.7	43.8	104.6	12.5	14.8	"530"	""	"dry "	"barfed before swabbing mouth"	"Scott"	""	"SF"	544.46568791993
6	"M4/5"	"1106-11021"	3	0	0	20210515	"13:50"	58.5	49.2	113.8	16.8	16.7	"690"	""	"wet "	""	"Scott"	""	"SF"	542.732750957141
7	"M4/5"	"1106-11024"	1	0	0	20210515	"14:45"	62.5	47.5	111.6	14.7	15.5	"710"	""	"dry "	""	"Scott"	""	"SF"	594.084344821578
8	"M4/5"	"1106-11025"	1	0	0	20210515	"15:19"	53	45	98.9	13	15.5	"550"	""	"dry "	""	"Amy"	"sent for sexing 10/3/2021"	"SF"	674.738524586858
9	"M4/5"	"1106-11026"	2	0	0	20210516	"9:23"	54.6	42.8	95.6	12.9	14.4	"580"	""	"wet "	""	"Amy"	"sent for sexing 10/3/2021"	"SF"	792.286317846625
10	"M4/5"	"1106-11027"	2	0	0	20210516	"10:00"	61.7	47.6	113.8	14.9	15.6	"698"	""	"dry "	"pillowcase mass not taken (assumed 120g)"	"Amy"	"sent for sexing 10/3/2021"	"SF"	549.025304591426
11	"M4/5"	"1106-11030"	2	0	0	20210516	"10:40"	62.9	43.5	116	16.7	17.2	"650"	""	"dry"	"pillowcase mass not taken (assumed 120g)"	"Amy"	"sent for sexing 10/3/2021"	"SF"	481.184534074382
12	"M4/5"	"1106-11031"	2	0	0	20210516	"12:18"	54.7	41.9	101	13.2	14.4	"500"	""	"wet "	"pillowcase mass not taken (assumed 120g), thumb may have gone in mouth before swabbing"	"Amy"	"sent for sexing 10/3/2021"	"SF"	573.905905533351
13	"M4/5"	"1106-11032"	3	0	0	20210516	"13:35"	58.9	47.6	115	16.3	17.4	"640"	""	"dry"	"pillowcase mass not taken (assumed 120g)"	"Amy"	"sent for sexing 10/3/2021"	"SF"	486.953960314867
14	"M4/5"	"1106-11033"	2	0	0	20210516	"13:57"	55.1	43.8	103.7	14.3	15.2	"540"	""	"wet "	"pillowcase mass not taken (assumed 120g), near NW camera"	"Amy"	"sent for sexing 10/3/2021"	"SF"	570.131662556855
15	"M4/5"	"1106-11028"	3	0	0	20210516	"14:24"	54	41.4	99.9	13.9	14.9	"620"	""	"dry"	"pillowcase mass not taken (assumed 120g)"	"Amy"	"sent for sexing 10/3/2021"	"SF"	736.759642263934
16	"M4/5"	"1106-11034"	3	0	0	20210516	"14:53"	54.8	51.9	98.7	13.9	15.3	"550"	""	"dry"	"pillowcase mass not taken (assumed 120g)"	"Amy"	"sent for sexing 10/3/2021"	"SF"	679.07857476963
17	"A5/7"	"1106-11035"	1	0	0	20210517	"8:16"	58.3	44.8	109.8	16.2	16.7	"660"	""	"dry"	"pillowcase mass not taken (assumed 120g), finger went in mouth before swabbing"	"Amy"	""	"SF"	581.434643078736
18	"A5/7"	"1106-11036"	1	0	0	20210517	"8:40"	64.8	43.7	110.5	14.9	16.1	"750"	""	"dry"	"pillowcase mass not taken (assumed 120g)"	"Amy"	""	"SF"	647.554914327289
19	"A5/7"	"1055-09958"	2	0	0	20210517	"9:30"	54.4	42.1	106.1	17.1		"710"	""	"wet "	"pillowcase mass not taken (assumed 120g), previously banded Darvic Bk/WT 444/1055-08958"	"Amy"	""	"SF"	697.215752563815
20	"A5/7"	"1106-11037"	3	0	0	20210517	"9:58"	56.1	41.8	100.9	13.7	14.3	"620"	""	"dry"	"pillowcase mass not taken (assumed 120g)"	"Amy"	""	"SF"	713.879625691918
21	"A5/7"	"1106-11038"	3	0	0	20210517	"10:15"	63	43	110.8	16.2	16.5	"700"	""	"dry"	"pillowcase mass not taken (assumed 120g)"	"Amy"	""	"SF"	599.216698373887
22	"A5/7"	"1106-11039"	1	0	0	20210517	"10:40"	62.3	41.3	109.1	15.9	16.6	"700"	""	"dry"	"pillowcase mass not taken (assumed 120g)"	"Amy"	""	"SF"	629.29248569174
23	"A5/7"	"1106-11040"	3	0	0	20210517	"11:19"	41.3	57.8	101.7	14.3	14.2	"580"	""	"dry"	"pillowcase mass not taken (assumed 120g)"	"Amy"	""	"SF"	651.325425582492
24	"A5/7"	"1106-11041"	3	0	0	20210519	"8:02"	57.3	41.9	102	14.1	15.2	"640"	""	"dry"	"along road"	"Amy"	""	"SF"	712.030023801171
25	"A5/7"	"1106-11043"	2	1	0	20210519	"8:28"	55.6	44.2	103.3	14.1	14.5	"610"	""	"wet "	"along road"	"Amy"	""	"SF"	651.969665215731
26	"A5/7"	"1106-11045"	2	0	0	20210519	"9:00"	57	43	109.2	15.8	16.6	"610"	""	"dry"	"along road"	"Amy"	""	"SF"	546.794452527136
27	"A5/7"	"1106-11046"	2	0	0	20210519	"9:24"	60.7	47.2	114.2	16.6	17	"740"	""	"wet "	"along road"	"Amy"	""	"SF"	575.62831908904
28	"A5/7"	"1106-11047"	2	0	0	20210519	"9:58"	55.1	39.3	105.4	14.2	15.3	"620"	""	"dry"	"along road"	"Amy"	""	"SF"	621.735807998611
29	"A5/7"	"1106-11048"	3	0	0	20210519	"10:24"	59.8	44.8	111.5	15.7	16.3	"660"	""	"dry"	"on top of road"	"Amy"	""	"SF"	553.817687558073
30	"A5/7"	"1106-11042"	3	0	0	20210519	"11:25"	54.7	39.9	100	14	14.9	"590"	""	"dry"	""	"Amy"	""	"SF"	698.891742373849
